Atlantic,Boston Celtics,"Boston, Massachusetts",TD Garden,18624,".mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}42°21′59″N 71°03′44″W﻿ / ﻿42.366303°N 71.062228°W",1946,1946,
Atlantic,Brooklyn Nets,"New York City, New York",Barclays Center,17732,40°40′58″N 73°58′29″W﻿ / ﻿40.68265°N 73.974689°W,1967*,1976,
Atlantic,New York Knicks,"New York City, New York",Madison Square Garden,19812,40°45′02″N 73°59′37″W﻿ / ﻿40.750556°N 73.993611°W,1946,1946,
Atlantic,Philadelphia 76ers,"Philadelphia, Pennsylvania",Wells Fargo Center,21600,39°54′04″N 75°10′19″W﻿ / ﻿39.901111°N 75.171944°W,1946*,1949,
Atlantic,Toronto Raptors,"Toronto, Ontario[A]",Scotiabank Arena[A],19800,43°38′36″N 79°22′45″W﻿ / ﻿43.643333°N 79.379167°W,1995,1995,
Central,Chicago Bulls,"Chicago, Illinois",United Center,20917,41°52′50″N 87°40′27″W﻿ / ﻿41.880556°N 87.674167°W,1966,1966,
Central,Cleveland Cavaliers,"Cleveland, Ohio",Rocket Mortgage FieldHouse,20562,41°29′47″N 81°41′17″W﻿ / ﻿41.496389°N 81.688056°W,1970,1970,
Central,Detroit Pistons,"Detroit, Michigan",Little Caesars Arena,20491,42°41′49″N 83°14′44″W﻿ / ﻿42.696944°N 83.245556°W,1941*,1948,
Central,Indiana Pacers,"Indianapolis, Indiana",Bankers Life Fieldhouse,17923,39°45′50″N 86°09′20″W﻿ / ﻿39.763889°N 86.155556°W,1967,1976,
Central,Milwaukee Bucks,"Milwaukee, Wisconsin",Fiserv Forum,18717,43°02′37″N 87°55′01″W﻿ / ﻿43.043611°N 87.916944°W,1968,1968,
Southeast,Atlanta Hawks,"Atlanta, Georgia",State Farm Arena,15711,33°45′26″N 84°23′47″W﻿ / ﻿33.757222°N 84.396389°W,1946*,1949,
Southeast,Charlotte Hornets,"Charlotte, North Carolina",Spectrum Center,19077,35°13′30″N 80°50′21″W﻿ / ﻿35.225°N 80.839167°W,1988*,1988*,
Southeast,Miami Heat,"Miami, Florida",American Airlines Arena,19600,25°46′53″N 80°11′17″W﻿ / ﻿25.781389°N 80.188056°W,1988,1988,
Southeast,Orlando Magic,"Orlando, Florida",Amway Center,18846,28°32′21″N 81°23′01″W﻿ / ﻿28.539167°N 81.383611°W,1989,1989,
Southeast,Washington Wizards,"Washington, D.C.",Capital One Arena,20356,38°53′53″N 77°01′15″W﻿ / ﻿38.898056°N 77.020833°W,1961*,1961*,
Western Conference,Western Conference,Western Conference,Western Conference,Western Conference,Western Conference,Western Conference,Western Conference,Western Conference
Northwest,Denver Nuggets,"Denver, Colorado",Ball Arena,19520,39°44′55″N 105°00′27″W﻿ / ﻿39.748611°N 105.0075°W,1967,1976,
Northwest,Minnesota Timberwolves,"Minneapolis, Minnesota",Target Center,19356,44°58′46″N 93°16′34″W﻿ / ﻿44.979444°N 93.276111°W,1989,1989,
Northwest,Oklahoma City Thunder,"Oklahoma City, Oklahoma",Chesapeake Energy Arena,18203,35°27′48″N 97°30′54″W﻿ / ﻿35.463333°N 97.515°W,1967*,1967*,
Northwest,Portland Trail Blazers,"Portland, Oregon",Moda Center,19441,45°31′54″N 122°40′00″W﻿ / ﻿45.531667°N 122.666667°W,1970,1970,
Northwest,Utah Jazz,"Salt Lake City, Utah",Vivint Arena,19911,40°46′06″N 111°54′04″W﻿ / ﻿40.768333°N 111.901111°W,1974*,1974*,
Pacific,Golden State Warriors,"San Francisco, California",Chase Center,18064,37°46′05″N 122°23′15″W﻿ / ﻿37.768056°N 122.3875°W,1946*,1946*,
Pacific,Los Angeles Clippers,"Los Angeles, California",Staples Center,19060,34°02′35″N 118°16′02″W﻿ / ﻿34.043056°N 118.267222°W,1970*,1970*,
Pacific,Los Angeles Lakers,"Los Angeles, California",Staples Center,18997,34°02′35″N 118°16′02″W﻿ / ﻿34.043056°N 118.267222°W,1947*,1948,
Pacific,Phoenix Suns,"Phoenix, Arizona",Phoenix Suns Arena,18055,33°26′45″N 112°04′17″W﻿ / ﻿33.445833°N 112.071389°W,1968,1968,
Pacific,Sacramento Kings,"Sacramento, California",Golden 1 Center,17500,38°38′57″N 121°31′05″W﻿ / ﻿38.649167°N 121.518056°W,1923*,1948,
Southwest,Dallas Mavericks,"Dallas, Texas",American Airlines Center,19200,32°47′26″N 96°48′37″W﻿ / ﻿32.790556°N 96.810278°W,1980,1980,
Southwest,Houston Rockets,"Houston, Texas",Toyota Center,18055,29°45′03″N 95°21′44″W﻿ / ﻿29.750833°N 95.362222°W,1967*,1967*,
Southwest,Memphis Grizzlies,"Memphis, Tennessee",FedExForum,18119,35°08′18″N 90°03′02″W﻿ / ﻿35.138333°N 90.050556°W,1995*,1995*,
Southwest,New Orleans Pelicans,"New Orleans, Louisiana",Smoothie King Center,16867,29°56′56″N 90°04′55″W﻿ / ﻿29.948889°N 90.081944°W,2002*,2002*,
Southwest,San Antonio Spurs,"San Antonio, Texas",AT&T Center,18418,29°25′37″N 98°26′15″W﻿ / ﻿29.426944°N 98.4375°W,1967*,1976,
